A	?\"a:
Swakopmund	sva.kOp.m\"Unt
Swamps	sv\"Omps
Swantje	sv\"ant.j@
Swapgeschäft	sv\"Op.g@.SEft
Swarabhakti	sva.ra.b\"ak.ti:
Swaradsch	sva.r\"a:tS
Swasiland	sv\"a:.zi:.lant
Swastika	sv\"as.ti:.ka
Swastiken	sv\"as.ti:.k@n
Sweater	sv\"E.t6
Sweatern	sv\"E.t6n
Sweaters	sv\"E.t6s
Sweatshirt	sv\"Et.S%9:t
Sweet	sv\"i:t
Swelling	sv\"E.lIN
Swen	sv\"En
Swimmingpool	sv\"I.mIN.pu:l
Swimmingpools	sv\"I.mIN.pu:ls
Swinegel	sv\"i:n.?e:.g@l
Swing	sv\"IN
Swings	sv\"INs
Swissair	sv\"I.sE:6
Switch	sv\"ItS
Sybarit	zy:.ba.r\"i:t
Sybille	zi:.b\"I.l@
Sycorax	z\"y:.ko:.raks
Sydow	z\"y:.do:
Syenit	zy:.e:.n\"It
Sykomore	zy:.ko:.m\"o:.r@
Sykophant	zy:.ko:.f\"ant
Sylepsis	z\"Y.lEp.sIs
Sylke	z\"Il.k@
Syllabus	z\"Y.la.bUs
Syllepse	zY.l\"Ep.s@
Syllepsen	zY.l\"Ep.s@n
Syllogismen	zY.lo:.g\"Is.m@n
Syllogismus	zY.lo:.g\"Is.mUs
Syllogistik	zY.lo:.g\"Is.tIk
Sylphide	zYl.f\"i:.d@
Sylphiden	zYl.f\"i:.d@n
Sylt	z\"Ylt
Sylva	s\"Il.va:
Sylvanit	zYl.va.n\"It
Sylvester	zIl.v\"Es.t6
Sylvestern	zIl.v\"Es.t6n
Sylvesters	zIl.v\"Es.t6s
Sylvia	z\"Il.vi:.a:
Sylviane	sYl.v\"ja:.n@
Sylvin	zYl.v\"i:n
Sylvinit	zYl.vi:.n\"It
Symbiose	zYm.bj\"o:.z@
Symbiosen	zYm.bj\"o:.z@n
Symbol	zYm.b\"o:l
Symbole	zYm.b\"o:.l@
Symbolen	zYm.b\"o:.l@n
Symbolik	zYm.b\"o:.lIk
Symbolisierung	zYm.bo:.li:.z\"i:.rUN
Symbolisierungen	zYm.bo:.li:.z\"i:.rU.N@n
Symbolismus	zYm.bo:.l\"Is.mUs
Symbolist	zYm.bo:.l\"Ist
Symbolisten	zYm.bo:.l\"Is.t@n
Symbols	zYm.b\"o:ls
Symmachie	zY.ma.\"xi:
Symmetrie	zY.me:.tr\"i:
Symmetrien	zY.me:.tr\"i:.@n
Sympathie	zYm.pa.t\"i:
Sympathien	zYm.pa.t\"i:.@n
Sympathikus	zYm.p\"a:.ti:.kUs
Sympathisant	zYm.pa.ti:.z\"ant
Symphonie	zYm.fo:.n\"i:
Symphonien	zYm.fo:.n\"i:.@n
Symphyse	zYm.f\"y:.z@
Symphysen	zYm.f\"y:.z@n
Symposien	zYm.p\"o:.zj@n
Symposion	zYm.p\"o:.zjOn
Symposions	zYm.p\"o:.zjOns
Symposium	zYm.p\"o:.zjUm
Symposiums	zYm.p\"o:.zjUms
Symptom	zYmp.t\"o:m
Symptomatologie	zYmp.to:.ma.to:.lo:.g\"i:
Symptome	zYmp.t\"o:.m@
Symptomen	zYmp.t\"o:.m@n
Symptoms	zYmp.t\"o:ms
Synagoge	zy:.na.g\"o:.g@
Synagogen	zy:.na.g\"o:.g@n
Synapse	zy:.n\"ap.s@
Synchronie	zYn.kro:.n\"i:
Synchronisation	zYn.kro:.ni:.za.tsj\"o:n
Synchronisationen	zYn.kro:.ni:.za.tsj\"o:.n@n
Synchronisierung	zYn.kro:.ni:.z\"i:.rUN
Synchronisierungen	zYn.kro:.ni:.z\"i:.rU.N@n
Synchronismen	zYn.kro:.n\"Is.m@n
Synchronismus	zYn.kro:.n\"Is.mUs
Syndetikon	zYn.d\"e:.ti:.kOn
Syndetikons	zYn.d\"e:.ti:.kOns
Syndicate	sIn.di:.k\"EIt
Syndicated	sIn.di:.k\"EI.t@d
Syndikalismus	zYn.di:.ka.l\"Is.mUs
Syndikalist	zYn.di:.ka.l\"Ist
Syndikalisten	zYn.di:.ka.l\"Is.t@n
Syndikat	zYn.di:.k\"a:t
Syndikate	zYn.di:.k\"a:.t@
Syndikaten	zYn.di:.k\"a:.t@n
Syndikates	zYn.di:.k\"a:.t@s
Syndikats	zYn.di:.k\"a:ts
Syndikus	z\"Yn.di:.kUs
Syndrom	zYn.dr\"o:m
Syndrome	zYn.dr\"o:.m@
Syndromen	zYn.dr\"o:.m@n
Syndroms	zYn.dr\"o:ms
Synergie	zY.nE6.g\"i:
Synergien	zY.nE6.g\"i:.@n
Synergismus	zY.nE6.g\"Is.mUs
Synesen	z\"y:.ne:.s@n
Synesis	z\"y:.ne:.zi:s
Synkope	zYn.k\"o:.p@
Synkopen	zYn.k\"o:.p@n
Synkratie	zYn.kra.t\"i:
Synkretismus	zYn.kre:.t\"Is.mUs
Synkretist	zYn.kre:.t\"Ist
Synkretisten	zYn.kre:.t\"Is.t@n
Synkrisen	zYn.kr\"i:.z@n
Synkrisis	z\"Yn.kri:.zIs
Synod	zy:.n\"o:t
Synodale	zy:.no:.d\"a:.l@
Synodalen	zy:.no:.d\"a:.l@n
Synodales	zy:.no:.d\"a:.l@s
Synode	zy:.n\"o:.d@
Synoden	z\"y:.no:.d%@n
Synodes	zy:.n\"o:.d@s
Synods	zy:.n\"o:ts
Synonym	zy:.no:.n\"y:m
Synonyme	zy:.no:.n\"y:.m@
Synonymen	zy:.no:.n\"y:.m@n
Synonymik	zy:.no:.n\"y:.mIk
Synonymiken	zy:.no:.n\"y:.mI.k@n
Synopse	zy:.n\"Op.s@
Synopsen	zy:.n\"Op.s@n
Synopsis	z\"y:.nOp.sIs
Synoptiker	zy:.n\"Op.ti:.k6
Synoptikern	zy:.n\"Op.tI.k6n
Synoptikers	zy:.n\"Op.tI.k6s
Synsemantika	zYn.ze:.m\"an.ti:.ka:
Synsemantikum	zYn.ze:.m\"an.ti:.kUm
Syntagma	zYn.t\"a.gma:
Syntagmas	zYn.t\"a.gma:s
Syntagmen	zYn.t\"a.gm@n
Syntaktik	zYn.t\"ak.tIk
Syntax	z\"Yn.taks
Synteresis	zYn.t\"e:.re:.zIs
Synthese	zYn.t\"e:.z@
Synthesen	zYn.t\"e:.z@n
Synthesis	z\"Yn.te:.zIs
Synthesizer	z\"Yn.t@.s%aI.z6
Synthetics	zYn.t\"e:.tIks
Synärese	zy:.nE.r\"e:.z@
Synästhesie	zy:.nEs.te:.z\"i:
Syphilitiker	zy:.fi:.l\"i:.ti:.k6
Syphilitikern	zy:.fi:.l\"i:.tI.k6n
Syphilitikers	zy:.fi:.l\"i:.tI.k6s
Syrakus	zy:.ra.k\"u:s
Syrakuser	zy:.ra.k\"u:.z6
Syriam	z\"y:6.jam
Syringe	zy:.r\"I.N@
Syringen	zy:.r\"I.N@n
Syrinx	z\"y:.rINks
Syrlin	z\"Y6.li:n
Syrmien	z\"Y6.mj@n
Syrologe	zy:.ro:.l\"o:.g@
Syrologen	zy:.ro:.l\"o:.g@n
Syrologie	zy:.ro:.lo:.g\"i:
System	zYs.t\"e:m
Systemanalytiker	zYs.t\"e:m.?a.na.l%y:.ti:.k6
Systemanalytikern	zYs.t\"e:m.?a.na.l%y:.ti:.k6n
Systemanalytikers	zYs.t\"e:m.?a.na.l%y:.ti:.k6s
Systematik	zYs.te:.m\"a:.tIk
Systematiken	zYs.te:.m\"a:.tI.k@n
Systematisierung	zYs.te:.ma.ti:.z\"i:.rUN
Systematisierungen	zYs.te:.ma.ti:.z\"i:.rU.N@n
Systeme	zYs.t\"e:.m@
Systemen	zYs.t\"e:.m@n
Systems	zYs.t\"e:ms
Systole	zYs.t\"o:.l@
Systolen	zYs.t\"o:.l@n
Szenar	stse:.n\"a:6
Szenare	S\"E.na.r%E
Szenaren	S\"E.na.r%@n
Szenarien	stse:.n\"a:6.j@n
Szenario	stse:.n\"a:6.jo:
Szenarios	stse:.n\"a:6.jo:s
Szenarium	stse:.n\"a:.ri:.Um
Szenariums	stse:.n\"a:.ri:.Ums
Szenars	stse:.n\"a:6s
Szene	sts\"e:.n@
Szenen	sts\"e:.n@n
Szenerie	stse:.n@.r\"i:
Szenerien	stse:.n@.r\"i:.@n
Szenograph	stse:.no:.gr\"a:f
Szepter	sts\"Ep.t6
Szeptern	sts\"Ep.t6n
Szepters	sts\"Ep.t6s
Szientismus	stsi:.En.t\"Is.mUs
Szientist	stsjEn.t\"Ist
Szientisten	stsi:.En.t\"Is.t@n
Szilla	sts\"I.la:
Szillen	sts\"I.l@n
Szintigraphie	stsIn.ti:.gra.f\"i:
Szintillation	stsIn.tI.la.tsj\"o:n
Szintillationen	stsIn.tI.la.tsj\"o:.n@n
Szintillator	stsIn.tI.l\"a:.to:6
Szintillatoren	stsIn.tI.la.t\"o:.r@n
Szintiscanner	sts\"In.tIs.kE.n6
Szission	stsI.sj\"o:n
Szissur	stsI.s\"u:6
Szylla	sts\"Y.la:
Säbel	z\"E:.b@l
Säbelraßler	z\"E:.b@l.r%as.l6
Sächelchen	z\"E.C@l.C@n
Säckchen	z\"Ek.C@n
Säcke	z\"E.k@
Säckel	z\"E.k@l
Säcklein	z\"E.klaIn
Säer	z\"E:.6
Säge	z\"E:.g@
Säger	z\"E:.g6
Sägerei	zE:.g@.r\"aI
Säkula	z\"E:.ku:.la:
Säkularfeier	zE:.ku:.l\"a:6.f%aI.6
Säkularisation	zE:.ku:.la.ri:.za.tsj\"o:n
Säkularisierung	zE:.ku:.la.ri:.z\"i:.rUN
Säkulum	z\"E:.ku:.lUm
Sälchen	z\"E:l.C@n
Säle	z\"E:.l@
Sämann	z\"E:.m%an
Sämaschine	z\"E:.ma.S%i:.n@
Sämerei	z\"E:.m@.r%aI
Sämling	z\"E:m.lIN
Sänger	z\"E.N6
Sättigung	z\"E.tI.gUN
Sätzchen	z\"Ets.C@n
Sätzlein	z\"Ets.laIn
Säuberung	z\"OY.b@.rUN
Säuerling	z\"OY.6.lIN
Säuerung	z\"OY.@.rUN
Säufer	z\"OY.f6
Säuger	z\"OY.g6
Säugling	z\"OY.klIN
Säuglingsfürsorge	z\"OY.glINs.f%y:6.zO6.g@
Säuglingswaage	z\"OY.glINs.v%a:.g@
Säulchen	z\"OYl.C@n
Säule	z\"OY.l@
Säulein	z\"OY.laIn
Säulen	z\"OY.l@n
Säumigkeit	z\"OY.mIC.kaIt
Säumnis	z\"OYm.nIs
Säure	z\"OY.r@
Säurung	z\"OY.rUN
Säzeit	z\"E:.ts%aIt
Séance	ze:.\"A~s
Söckchen	z\"9k.C@n
Söhlchen	z\"2:l.C@n
Söhnlein	z\"2:n.laIn
Söldling	z\"9lt.lIN
Söldner	z\"9l.dn6
Söldnerheer	z\"9lt.n6.h%e:6
Söller	z\"9.l6
Sömmerung	z\"9.m@.rUN
Sören	z\"2:.r@n
Süchte	z\"YC.t@
Süchten	z\"YC.t@n
Süd	z\"y:t
Südafrika	zy:t.?\"a:.fri:.ka:
Südamerika	z%y:t.?a.m\"e:.ri:.ka:
Südamerikaner	z%y:t.?a.me:.ri:.k\"a:.n6
Südasien	zy:t.?\"a:.zj@n
Süddakota	zy:t.da.k\"o:.ta:
Süddeutsche	z\"y:t.d%OY.tS@
Süddeutschland	z\"y:t.d%OYt.Slant
Süddänemark	zy:t.d\"E:.n@.ma6k
Süden	z\"y:.d@n
Südeuropa	z\"y:t.?OY.r%o:.pa:
Süditalien	z\"y:t.?i:.t%a:l.j@n
Süditaliener	z\"y:t.?i:.ta.l%je:.n6
Südjemen	zy:t.j\"e:.m@n
Südkorea	zy:t.ko:.r\"e:.a:
Südost	zy:t.?\"Ost
Südostasien	zy:t.?Ost.?\"a:.zj@n
Südpolarexpedition	zy:t.po:.l\"a:6.?Eks.pe:.di:.tsj%o:n
Südsüdost	z\"y:t.z\"y:t.?\"Ost
Südwest	zy:t.v\"Est
Südwester	zy:t.v\"Es.t6
Süffisance	sY.fi:.z\"A~s
Süffisancen	sY.fi:.z\"A~.s@n
Sühne	z\"y:.n@
Sühnung	z\"y:.nUN
Sülze	z\"Yl.ts@
Sülzkotelett	z\"Ylts.ko:.t@.l%Et
Sümmchen	z\"Ym.C@n
Sünde	z\"Yn.d@
Sündenlast	z\"Yn.d@n.l%ast
Sündenlosigkeit	z\"Yn.d@n.l%o:.zIC.kaIt
Sünder	z\"Yn.d6
Sündflut	z\"Ynt.fl%u:t
Sündhaftigkeit	z\"Ynt.h%af.tIC.kaIt
Sündlosigkeit	z\"Ynt.l%o:.zIC.kaIt
Süppchen	z\"Yp.C@n
Sütterlin	z\"Y.t6.li:n
Süß	z\"y:s
Süßigkeit	z\"y:.sIC.kaIt
T	t\"e:
TV	te:.f\"aU
Tab	t\"a:p
Tabagie	ta.ba.Z\"i:
Tabak	t\"a.bak
Tabake	t\"a.ba.k@
Tabaken	t\"a.ba.k@n
Tabakes	t\"a.ba.k@s
Tabaks	t\"a.baks
Tabakwaren	t\"a.bak.v%a.r@n
Tabari	t\"a:.ba.ri:
Tabatiere	ta.ba.tj\"E:.r@
Tabatieren	ta.ba.tj\"E:.r@n
Tabe	t\"a:.b@
Tabelle	ta.b\"E.l@
Tabellen	ta.b\"E.l@n
Tabellierer	ta.bE.l\"i:.r6
Tabellierern	ta.bE.l\"i:.r6n
Tabellierers	ta.bE.l\"i:.r6s
Tabelliermaschine	ta.bE.l\"i:6.ma.S%i:.n@
Tabelliermaschinen	ta.bE.l\"i:6.ma.S%i:.n@n
Taben	t\"a:.b@n
Tabernakel	ta.bE6.n\"a:.k@l
Tabernakeln	ta.bE6.n\"a:.k@ln
Tabernakels	ta.bE6.n\"a:.k@ls
Taberne	ta.b\"E6.n@
Tabernen	ta.b\"E6.n@n
Tabes	t\"a:.bEs
Tableau	ta.bl\"o:
Tableaus	ta.bl\"o:s
Tablett	ta.bl\"Et
Tablette	ta.bl\"E.t@
Tabletten	ta.bl\"E.t@n
Tablettes	ta.bl\"E.t@s
Tabletts	ta.bl\"Ets
Tabloid	t\"E.blOYt
Tabs	t\"a:ps
Tabu	ta.b\"u:
Tabuierung	ta.bu:.\"i:.rUN
Tabuierungen	ta.bu:.?\"i:.rU.N@n
Tabulator	ta.bu:.l\"a:.to:6
Tabulatoren	ta.bu:.la.t\"o:.r@n
Tabulators	ta.bu:.l\"a:.to:6s
Tabulatur	ta.bu:.la.t\"u:6
Tabulett	ta.bu:.l\"Et
Tabun	ta.b\"u:n
Taburett	ta.bu:.r\"Et
Taburette	ta.bu:.r\"E.t@
Taburetten	ta.bu:.r\"E.t@n
Taburettes	ta.bu:.r\"E.t@s
Taburetts	ta.bu:.r\"Ets
Tabus	ta.b\"u:s
Tachenius	ta.\"xe:n.jUs
Tachistoskop	ta.xIs.to:.sk\"o:p
Tacho	ta.\"xo:
Tachograph	ta.xo:.gr\"a:f
Tachometer	ta.xo:.m\"e:.t6
Tachometern	ta.xo:.m\"e:.t6n
Tachometers	ta.xo:.m\"e:.t6s
Tachygraph	ta.xy:.gr\"a:f
Tachygraphen	ta.xy:.gr\"a:.f@n
Tachygraphie	ta.xy:.gra.f\"i:
Tachygraphien	ta.xy:.gra.f\"i:.@n
Tachykardie	ta.xy:.ka6.d\"i:
Tachykardien	ta.xy:.ka6.d\"i:.@n
Tachymeter	ta.xy:.m\"e:.t6
Tachymetern	ta.xy:.m\"e:.t6n
Tachymeters	ta.xy:.m\"e:.t6s
Tachymetrie	ta.xy:.me:.tr\"i:
Tacuana	ta.kh\"a:.na:
Tadel	t\"a:.d@l
Tadelei	ta:.d@.l\"aI
Tadeleien	ta:.d@.l\"aI.@n
Tadeln	t\"a:.d@ln
Tadels	t\"a:.d@ls
Tadler	t\"a:.dl6
Tadlerin	t\"a:.dl@.rIn
Tadlerinnen	t\"a:.dl@.rI.n@n
Tadlern	t\"a:.dl6n
Tadlers	t\"a:.dl6s
Tadshike	ta.dZ\"i:.k@
Tadshiken	ta.dZ\"i:.k@n
Tafel	t\"a:.f@l
Tafelgerät	t\"a.f@l.g@.r%E:t
Tafelmalerei	ta:.f@l.ma.l@.r\"aI
Tafeln	t\"a:.f@ln
Taffia	t\"af.ja:
Taft	t\"aft
Tafte	t\"af.t@
Taften	t\"af.t@n
Taftes	t\"af.t@s
Tafts	t\"afts
Tag	t\"a:k
Tage	t\"a:.g@
Tagebau	t\"a:.g@.baU
Tagebaue	t\"a:.g@.baU.@
Tagebaues	t\"a:.g@.baU.@s
Tagebaus	t\"a:.g@.baUs
Tagen	t\"a:.g@n
Tages	t\"a:.g@s
Tagesende	t\"a:.g@s.?%En.d@
Tagesgespräch	t\"a:.g@s.g@.Spr%EC
Tagesstätte	t\"a:.g@s.St%E.t@
Tagessuppe	t\"a:.g@s.z%U.p@
Tagetes	ta.g\"e:.tEs
Tagging	t\"E.gIN
Tagore	ta.g\"o:.r@
Tags	t\"a:ks
Tagundnachtgleiche	t%a:k.?Unt.n\"axt.gl%aI.C@
Tagundnachtgleichen	t%a:k.?Unt.n\"axt.gl%aI.C@n
Tagung	t\"a:.gUN
Tagungen	t\"a:.gU.N@n
Tagungsort	t\"a:.gUNs.?%O6t
Tagungsorte	t\"a:.gUNs.?%O6.t@
Tahiti	ta.h\"i:.ti:
Tahitis	ta.h\"i:.ti:s
Tai	t\"a.?i:
Taifun	taI.f\"u:n
Taifune	taI.f\"u:.n@
Taifunen	taI.f\"u:.n@n
Taifunes	taI.f\"u:.n@s
Taifuns	taI.f\"u:ns
Taiga	t\"aI.ga
Tail	t\"EIl
Taille	t\"al.j@
Taillen	t\"al.j@n
Tailleur	ta.j\"2:6
Tailleurs	ta.j\"2:6s
Tajana	ta.tj\"a:.na:
Take	t\"EIk
Takel	t\"a:.k@l
Takelage	ta.k@.l\"a:.Z@
Takelagen	ta.k@.l\"a:.Z@n
Takeln	t\"a:.k@ln
Takels	t\"a:.k@ls
Takelung	t\"a:.k@.lUN
Takelungen	t\"a:.k@.lU.N@n
Taklung	t\"a:.klUN
Taklungen	t\"a:.klU.N@n
Takt	t\"akt
Takte	t\"ak.t@
Takten	t\"ak.t@n
Taktes	t\"ak.t@s
Taktik	t\"ak.tIk
Taktiken	t\"ak.tI.k@n
Taktiker	t\"ak.ti:.k6
Taktikern	t\"ak.tI.k6n
Taktikers	t\"ak.tI.k6s
Taktlosigkeit	t\"akt.l%o:.zIC.kaIt
Taktlosigkeiten	t\"akt.l%o:.zIC.kaI.t@n
Takts	t\"akts
Takyr	t\"a:.kI6
Takyre	ta.k\"i:.r@
Tal	t\"a:l
Talar	ta.l\"a:6
Talare	ta.l\"a:.r@
Talaren	ta.l\"a:.r@n
Talares	ta.l\"a:.r@s
Talars	ta.l\"a:6s
Talbotypie	tal.bo:.ty:.p\"i:
Tale	t\"EIl
Talent	ta.l\"Ent
Talente	ta.l\"En.t@
Talenten	ta.l\"En.t@n
Talentes	ta.l\"En.t@s
Talents	ta.l\"Ents
Taler	t\"a:.l6
Talern	t\"a:.l6n
Talers	t\"a:.l6s
Tales	t\"a:.l@s
Talg	t\"alk
Talge	t\"al.g@
Talgen	t\"al.g@n
Talges	t\"al.g@s
Talgs	t\"alks
Talisman	t\"a:.lIs.man
Talje	t\"al.j@
Taljen	t\"al.j@n
Talk	t\"O:k
Talke	t\"O:.k@
Talkes	t\"O:.k@s
Talks	t\"O:ks
Tallinn	t\"a.lIn
Tallöl	t\"al.?2:l
Talmi	t\"al.mi:
Talmud	t\"al.mu:t
Talmude	t\"al.mu:.d@
Talmuden	t\"al.mu:.d@n
Talmudes	t\"al.mu:.d@s
Talmudismus	tal.mu:.d\"Is.mUs
Talmudist	tal.mu:.d\"Ist
Talmudisten	tal.mu:.d\"Is.t@n
Talmuds	t\"al.mu:ts
Talon	ta.l\"ON
Talons	ta.l\"ONs
Tals	t\"a:ls
Talung	t\"a:.lUN
Talungen	t\"a:.lU.N@n
Tamagotchi	ta.ma.g\"O.tSi:
Tamale	ta.m\"a:.l@
Taman	ta.m\"a:n
Tamara	ta.m\"a:.ra:
Tamarinde	ta.ma.r\"In.d@
Tamarinden	ta.ma.r\"In.d@n
Tamariske	ta.ma.r\"Is.k@
Tamarisken	ta.ma.r\"Is.k@n
Tamatave	ta.ma.t\"a:.v@
Tambour	t\"am.bu:6
Tamboure	t\"am.bu:.r@
Tambouren	t\"am.bu:.r@n
Tambours	t\"am.bu:6s
Tambur	t\"am.bu:6
Tambure	t\"am.bu:.r@
Tamburen	t\"am.bu:.r@n
Tambures	t\"am.bu:.r@s
Tamburierstich	tam.bu:.r\"i:6.St%IC
Tamburierstiche	tam.bu:.r\"i:6.St%I.C@
Tamburierstichen	tam.bu:.r\"i:6.St%I.C@n
Tamburierstiches	tam.bu:.r\"i:6.St%I.C@s
Tamburierstichs	tam.bu:.r\"i:6.St%ICs
Tamburin	t\"am.bu:.ri:n
Tamburs	t\"am.bu:6s
Tamerlan	t\"a:.m6.la:n
Tamil	ta.m\"i:l
Tamile	ta.m\"i:.l@
Tamilen	t\"a.mi:.l%En
Tamils	ta.m\"i:ls
Tamino	ta.m\"i:.no:
Tamora	ta.m\"o:.ra:
Tamp	t\"amp
Tampe	t\"am.pE
Tampen	t\"am.p@n
Tampens	t\"am.pEns
Tampes	t\"am.pEs
Tampon	t\"am.pON
Tamponade	tam.po:.n\"a:.d@
Tamponaden	tam.po:.n\"a:.d@n
Tampons	t\"am.pONs
Tamps	t\"amps
Tamtam	t\"am.tam
Tamule	ta.m\"u:.l@
Tanaka	ta.n\"a:.ka:
Tananarive	ta.na.na.r\"i:.v@
Tand	t\"ant
Tande	t\"an.d@
Tandelmarkt	t\"an.d@l.m%a6kt
Tandelmarkte	t\"an.d@l.m%a6k.t@
Tandelmarktes	t\"an.d@l.m%a6k.t@s
Tandelmarkts	t\"an.d@l.m%a6kts
Tandem	t\"an.dEm
Tandems	t\"an.dEms
Tandes	t\"an.d@s
Tands	t\"ants
Tang	t\"aN
Tanga	t\"aN.ga:
Tange	t\"a.N@
Tangen	t\"aN.g@n
Tangens	t\"aN.gEns
Tangente	taN.g\"En.t@
Tanges	t\"a.N@s
Tango	t\"aN.go:
Tangos	t\"aN.go:s
Tangs	t\"aNs
Tangun	t\"aN.gu:n
Tanis	t\"a:.nIs
Tanja	t\"an.ja:
Tanjug	t\"an.jUk
Tank	t\"aNk
Tanke	t\"aN.k@
Tanken	t\"aN.k@n
Tanker	t\"aN.k6
Tankern	t\"aN.k6n
Tankers	t\"aN.k6s
Tankred	t\"aN.kre:t
Tanks	t\"aNks
Tann	t\"an
Tannat	ta.n\"a:t
Tanne	t\"a.n@
Tannen	t\"a.n@n
Tannes	t\"a.n@s
Tannicht	t\"a.nICt
Tannin	ta.n\"i:n
Tanns	t\"ans
Tansania	tan.za.n\"i:.a:
Tantal	t\"an.tal
Tantale	t\"an.ta.l@
Tantales	t\"an.ta.l@s
Tantals	t\"an.tals
Tantchen	t\"ant.C@n
Tantchens	t\"ant.C@ns
Tante	t\"an.t@
Tanten	t\"an.t@n
Tantieme	tA~.tj\"E:.m@
Tantiemen	tA~.tj\"E:.m@n
Tanz	t\"ants
Tanze	t\"an.ts@
Tanzen	t\"an.ts@n
Tanzerei	tan.ts@.r\"aI
Tanzereien	tan.ts@.r\"aI.@n
Tanzes	t\"an.ts@s
Tanzunterricht	t\"ants.?%Un.t@.rICt
Tanzunterrichte	t\"ants.?%Un.t@.rIC.t@
Tanzunterrichtes	t\"ants.?%Un.t@.rIC.t@s
Tanzunterrichts	t\"ants.?%Un.t@.rICts
Tao	t\"a:.o:
Taoismus	t\"a.o:.?Is.mUs
Tape	t\"EIp
Tapergreis	t\"a.p6.gr%aIs
Tapergreise	t\"a.p6.gr%aI.z@
Tapergreisen	t\"a.p6.gr%aI.z@n
Tapergreises	t\"a.p6.gr%aI.z@s
Tapes	t\"EIps
Tapestry	t\"E.pIs.tri:
Tapet	ta.p\"e:t
Tapete	ta.p\"e:.t@
Tapeten	ta.p\"e:.t@n
Tapezier	ta.pe:.ts\"i:6
Tapeziere	ta.pe:.ts\"i:.r@
Tapezieren	ta.pe:.ts\"i:.r@n
Tapezierer	ta.pe:.ts\"i:.r6
Tapezierern	ta.pe:.ts\"i:.r6n
Tapezierers	ta.pe:.ts\"i:.r6s
Tapezieres	ta.pe:.ts\"i:.r@s
Tapeziers	ta.pe:.ts\"i:6s
Tapfe	t\"a.pf@
Tapfen	t\"a.pf@n
Tapfens	t\"a.pf@ns
Tapferkeit	t\"a.pf6.kaIt
Tapioka	ta.pj\"o:.ka
Tapir	t\"a:.pi:6
Tapire	t\"a:.pi:.r@
Tapiren	t\"a:.pi:.r@n
Tapires	t\"a:.pi:.r@s
Tapirs	t\"a:.pi:6s
Tapisserie	ta.pI.s@.r\"i:
Tapisserien	ta.pI.s@.r\"i:.@n
Tapp	t\"ap
Tappen	t\"a.p@n
Tara	t\"a:.ra:
Tarai	ta.r\"a.i:
Tarantel	ta.r\"an.t@l
Tarantella	ta.ran.t\"E.la:
Tarantellas	ta.ran.t\"E.la:s
Tarantellen	ta.ran.t\"E.l@n
Taranteln	ta.r\"an.t@ln
Tarar	ta.r\"a:6
Taraske	ta.r\"as.k@
Tarasken	ta.r\"as.k@n
Tardenoisien	ta6.d@n.wa.zj\"E~
Taren	t\"a.r@n
Tarent	ta.r\"Ent
Target	t\"a:.gIt
Tarierwaage	ta.r\"i:6.v%a:.g@
Tarierwaagen	ta.r\"i:6.v%a:.g@n
Tarif	ta.r\"i:f
Tarife	ta.r\"i:.f@
Tarifen	ta.r\"i:.f@n
Tarifes	ta.r\"i:.f@s
Tarifs	ta.r\"i:fs
Tarim	ta.r\"Im
Tarlatan	t\"a6.la.tan
Tarle	t\"a:6.lE
Tarn	t\"a6n
Tarnanstrich	t\"a6n.?%an.StrIC
Tarnanstriche	t\"a6n.?%an.StrI.C@
Tarnanstrichen	t\"a6n.?%an.StrI.C@n
Tarnanstriches	t\"a6n.?%an.StrI.C@s
Tarnanstrichs	t\"a6n.?%an.StrICs
Tarnanzug	t\"a6n.?%an.tsu:k
Tarnanzuge	t\"a6n.?%an.tsu:.g@
Tarnanzuges	t\"a6n.?%an.tsu:.g@s
Tarnanzugs	t\"a6n.?%an.tsu:ks
Tarnfarbe	t\"a6n.f%a6.b@
Tarnfarben	t\"a6n.f%a6.b@n
Tarnkappe	t\"a6n.k%a.p@
Tarnkappen	t\"a6n.k%a.p@n
Tarnung	t\"a6.nUN
Tarnungen	t\"a6.nU.N@n
Tarock	ta.r\"Ok
Tarocks	ta.r\"Oks
Tarsus	t\"a6.zUs
Tartan	t\"a:.t@n
Tartane	ta6.t\"a:.n@
Tartessos	ta6.t\"E.sOs
Tartrat	ta6.tr\"a:t
Tartrate	t\"a6.tra:.t%E
Tartraten	t\"a6.tra:.t%@n
Tartrates	t\"a6.tra:.t%Es
Tartrats	ta6.tr\"a:ts
Tartronsäure	ta6.tr\"o:n.zOY.r@
Tartsche	t\"a6.tS@
Tartschen	t\"a6.tS@n
Tartu	t\"a6.tu:
Tartüff	ta6.t\"Yf
Taruc	ta.r\"Uk
Tarudante	ta.ru:.d\"an.t@
Tasche	t\"a.S@
Taschen	t\"a.S@n
Taschkent	taS.k\"Ent
Task	t\"a:sk
Tasmanien	tas.m\"a:n.j@n
Tasmanier	tas.m\"a:n.j6
Tasmaniern	tas.m\"a:n.j6n
Tasmaniers	tas.m\"a:n.j6s
Tasse	t\"a.s@
Tassen	t\"a.s@n
Tast	t\"ast
Tastatur	tas.ta.t\"u:6
Tastaturen	tas.ta.t\"u:.r@n
Taste	t\"as.t@
Tastempfindung	t\"ast.?Em.pf%In.dUN
Tastempfindungen	t\"ast.?Em.pf%In.dU.N@n
Tasten	t\"as.t@n
Taster	t\"as.t6
Tastern	t\"as.t6n
Tasters	t\"as.t6s
